,corr_with_price
price,1.0
estimated_revenue_l365d,0.5247535309556841
accommodates_norm,0.5168081574193909
accommodates,0.516808157419389
beds,0.48306187829440494
bedrooms,0.4529555539782571
bedrooms_norm,0.4529555539782568
bathrooms,0.38289055931117544
bathrooms_norm,0.382890559311175
number_of_reviews_ltm,0.15270614818360256
number_of_reviews_ly,0.13852388665062249
number_of_reviews,0.1289132369885335
reviews_per_month,0.12422976006187073
number_of_reviews_l30d,0.11580997880975571
review_scores_location,0.09862155690763152
availability_90,0.09179626731881282
availability_eoy,0.08360286285571934
availability_60,0.08110001580888465
longitude,0.07794445552470394
review_scores_value,0.07259874648378431
review_scores_cleanliness,0.0695864769571545
availability_30,0.06829758890580558
host_id,0.0640922287826524
review_scores_rating,0.06020236523535008
estimated_occupancy_l365d,0.047986727590612885
review_scores_accuracy,0.037392612801571114
review_scores_communication,0.03362725180771139
review_scores_checkin,0.02213517510031542
maximum_maximum_nights,0.020166734110736592
maximum_nights_avg_ntm,0.02012546931713785
maximum_nights,0.010651216796524145
availability_365,0.006522473819066658
minimum_maximum_nights,-0.008237057320178516
calculated_host_listings_count_shared_rooms,-0.014670017148013994
latitude,-0.03397378036137421
host_total_listings_count,-0.042052701071380184
calculated_host_listings_count_entire_homes,-0.06101781203542865
calculated_host_listings_count_private_rooms,-0.061773514099723564
calculated_host_listings_count,-0.06822020652613074
host_listings_count,-0.07487255317235776
maximum_minimum_nights,-0.12622010567952108
minimum_nights_avg_ntm,-0.16277188917064164
minimum_nights,-0.1748994670917617
minimum_minimum_nights,-0.2068883056431927
scrape_id,
neighbourhood_group_cleansed,
calendar_updated,
