Metric,Value
March - Total Records,9731
March - Records with Price Data,8917
March - NaN Prices,814
March - NaN Price %,8.37%
March - Mean Price,$146.69
March - Median Price,$100.00
March - Std Dev Price,$310.00
March - Min Price,$13.00
March - Max Price,$13294.00
,
June - Total Records,9700
June - Records with Price Data,8742
June - NaN Prices,958
June - NaN Price %,9.88%
June - Mean Price,$188.76
June - Median Price,$134.00
June - Std Dev Price,$297.46
June - Min Price,$11.00
June - Max Price,$13294.00
,
Sept - Total Records,9495
Sept - Records with Price Data,8431
Sept - NaN Prices,1064
Sept - NaN Price %,11.21%
Sept - Mean Price,$180.94
Sept - Median Price,$125.00
Sept - Std Dev Price,$497.29
Sept - Min Price,$12.00
Sept - Max Price,$26724.00
,
Listings Appearing 3 Times,6903 (71.6% of records)
Listings Appearing 2 Times,2442 (16.9% of records)
Listings Appearing 1 Time,3333 (11.5% of records)
Total Unique Listings,12678
Total Records,28926
